theme,theme_display,family,effort,model_tag,n_responses,n_families,expected_draws_per_family,actor_choice_family_majority_correct_rate,actor_choice_family_majority_correct_rate_ci_lo,actor_choice_family_majority_correct_rate_ci_hi,self_report_driver_family_majority_correct_rate,self_report_driver_family_majority_correct_rate_ci_lo,self_report_driver_family_majority_correct_rate_ci_hi,score_judge_choice_family_majority_correct_rate,score_judge_choice_family_majority_correct_rate_ci_lo,score_judge_choice_family_majority_correct_rate_ci_hi,score_judge_driver_family_majority_correct_rate,score_judge_driver_family_majority_correct_rate_ci_lo,score_judge_driver_family_majority_correct_rate_ci_hi,tau_responses_relpath
drugs,Drugs,GPT-5-mini,low,mini_low,1200,100,12,0.81,0.73475,0.88,0.73,0.64,0.81,0.86,0.79,0.92,0.76,0.67,0.84,outputs/final_same_order/runs/drugs/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-mini,minimal,mini_min,1200,100,12,0.89,0.83,0.9452499999999997,0.66,0.58,0.75,0.89,0.82,0.95,0.79,0.70475,0.87,outputs/final_same_order/runs/drugs/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-nano,low,nano_low,1200,100,12,0.85,0.78,0.91,0.64,0.55,0.73,0.8,0.72,0.8752499999999998,0.58,0.49,0.6752499999999998,outputs/final_same_order/runs/drugs/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-nano,minimal,nano_min,1200,100,12,0.94,0.89,0.99,0.41,0.32,0.5,0.76,0.68,0.85,0.36,0.27,0.46,outputs/final_same_order/runs/drugs/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Ministral-3-14B,low,ministral_low,1200,100,12,0.74,0.66,0.82,0.32,0.24,0.41,0.81,0.74,0.8852499999999998,0.65,0.55,0.75,outputs/final_same_order/runs/drugs/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Ministral-3-14B,minimal,ministral_min,1200,100,12,0.91,0.85,0.96,0.49,0.4,0.59,0.66,0.57,0.76,0.54,0.45,0.65,outputs/final_same_order/runs/drugs/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Qwen3-14B,low,qwen_low,1200,100,12,0.8,0.72,0.8752499999999998,0.59,0.48475,0.68,0.67,0.57475,0.76,0.55,0.45,0.65,outputs/final_same_order/runs/drugs/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Qwen3-14B,minimal,qwen_min,1200,100,12,0.75,0.66,0.83,0.38,0.29,0.48,0.72,0.63,0.8,0.43,0.32475000000000004,0.5352499999999998,outputs/final_same_order/runs/drugs/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-mini,low,mini_low,1200,100,12,0.92,0.86,0.97,0.88,0.82,0.94,0.78,0.69,0.86,0.85,0.78,0.91,outputs/final_same_order/runs/policy/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-mini,minimal,mini_min,1200,100,12,0.89,0.83,0.95,0.8,0.72,0.88,0.81,0.74,0.88,0.83,0.75,0.9,outputs/final_same_order/runs/policy/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-nano,low,nano_low,1200,100,12,0.92,0.86,0.97,0.76,0.67,0.85,0.77,0.68,0.84,0.7,0.61,0.78,outputs/final_same_order/runs/policy/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-nano,minimal,nano_min,1200,100,12,0.93,0.88,0.9752499999999997,0.49,0.39,0.59,0.75,0.67,0.8252499999999997,0.39,0.3,0.5,outputs/final_same_order/runs/policy/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Ministral-3-14B,low,ministral_low,1200,100,12,0.73,0.64,0.83,0.39,0.29,0.48524999999999974,0.8,0.72,0.88,0.68,0.58,0.77,outputs/final_same_order/runs/policy/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Ministral-3-14B,minimal,ministral_min,1200,100,12,0.95,0.91,0.99,0.7,0.60475,0.79,0.72,0.63,0.8,0.59,0.5,0.68,outputs/final_same_order/runs/policy/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Qwen3-14B,low,qwen_low,1200,100,12,0.9,0.83,0.95,0.8,0.71475,0.8752499999999998,0.8,0.72,0.88,0.72,0.63,0.82,outputs/final_same_order/runs/policy/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Qwen3-14B,minimal,qwen_min,1200,100,12,0.92,0.86,0.97,0.63,0.53,0.72,0.64,0.54,0.73,0.32,0.24,0.41,outputs/final_same_order/runs/policy/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-mini,low,mini_low,1200,100,12,0.92,0.86,0.97,0.79,0.71,0.88,0.54,0.44,0.63,0.54,0.42,0.6352499999999998,outputs/final_same_order/runs/software/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-mini,minimal,mini_min,1200,100,12,0.91,0.86,0.96,0.63,0.53,0.72,0.84,0.76,0.9,0.65,0.56,0.74,outputs/final_same_order/runs/software/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-nano,low,nano_low,1200,100,12,0.81,0.74,0.88,0.55,0.45475000000000004,0.6452499999999998,0.81,0.74,0.88,0.55,0.45,0.65,outputs/final_same_order/runs/software/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-nano,minimal,nano_min,1200,100,12,0.96,0.92,0.99,0.2,0.12,0.27,0.35,0.26,0.45,0.07,0.03,0.12,outputs/final_same_order/runs/software/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Ministral-3-14B,low,ministral_low,1200,100,12,0.74,0.65,0.82,0.33,0.24,0.42,0.79,0.71,0.86,0.48,0.37,0.5752499999999997,outputs/final_same_order/runs/software/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Ministral-3-14B,minimal,ministral_min,1200,100,12,0.92,0.87,0.97,0.41,0.31,0.51,0.65,0.55,0.74,0.55,0.45,0.66,outputs/final_same_order/runs/software/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Qwen3-14B,low,qwen_low,1200,100,12,0.89,0.83,0.95,0.65,0.55,0.74,0.78,0.71,0.87,0.69,0.61,0.77,outputs/final_same_order/runs/software/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Qwen3-14B,minimal,qwen_min,1200,100,12,0.88,0.81,0.94,0.5,0.39475000000000005,0.61,0.71,0.62475,0.8,0.27,0.19,0.37,outputs/final_same_order/runs/software/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
