theme,theme_display,placebo_variant,family,effort,model_tag,n_responses,n_config_ids,actor_names_placebo,actor_names_placebo_ci_lo,actor_names_placebo_ci_hi,revealed_driver_is_placebo,revealed_driver_is_placebo_ci_lo,revealed_driver_is_placebo_ci_hi,score_judge_top_driver_is_placebo,score_judge_top_driver_is_placebo_ci_lo,score_judge_top_driver_is_placebo_ci_hi,tau_responses_relpath
placebo_label_border,Label Border Thickness,Label Border Thickness,GPT-5-mini,low,mini_low,1200,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/final_same_order/runs/placebo_label_border/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,Label Border Thickness,Label Border Thickness,GPT-5-mini,minimal,mini_min,1200,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/final_same_order/runs/placebo_label_border/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,Label Border Thickness,Label Border Thickness,GPT-5-nano,low,nano_low,1200,73,0.0,0.0,0.0,0.0,0.0,0.0,0.005833333333333334,0.0015945512820512821,0.011306844997303127,outputs/final_same_order/runs/placebo_label_border/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,Label Border Thickness,Label Border Thickness,GPT-5-nano,minimal,nano_min,1200,73,0.0,0.0,0.0,0.07,0.032068077803203664,0.11741903571800473,0.08,0.0455224413950829,0.11912216828478958,outputs/final_same_order/runs/placebo_label_border/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,Label Border Thickness,Label Border Thickness,Ministral-3-14B,low,ministral_low,1200,73,0.008333333333333333,0.0025499843798812874,0.01565207301980198,0.0,0.0,0.0,0.0025,0.0,0.0054706726825266595,outputs/final_same_order/runs/placebo_label_border/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,Label Border Thickness,Label Border Thickness,Ministral-3-14B,minimal,ministral_min,1200,73,0.005,0.0,0.016339869281045753,0.02,0.0,0.047859432234432224,0.0,0.0,0.0,outputs/final_same_order/runs/placebo_label_border/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,Label Border Thickness,Label Border Thickness,Qwen3-14B,low,qwen_low,1200,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/final_same_order/runs/placebo_label_border/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,Label Border Thickness,Label Border Thickness,Qwen3-14B,minimal,qwen_min,1200,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/final_same_order/runs/placebo_label_border/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
placebo_packaging,Packaging Symmetry,Packaging Symmetry,GPT-5-mini,low,mini_low,1200,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,outputs/final_same_order/runs/placebo_packaging/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
placebo_packaging,Packaging Symmetry,Packaging Symmetry,GPT-5-mini,minimal,mini_min,1200,73,0.0016666666666666668,0.0,0.004208754208754209,0.0,0.0,0.0,0.0,0.0,0.0,outputs/final_same_order/runs/placebo_packaging/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
